linea,estacion,2012,2011,2010,2009,2008,2007,2006,2005,latitude,longitude
5,Aragon,743106,2424525,2464290,2499509,2544175,2077840,2068172,2076492,19.4512,-99.0965
5,Oceania,824946,2933858,2874476,2529604,3080269,3019773,1892075,2898798,19.4453,-99.0873
5,Terminal Aerea,1362843,4845634,4778274,4905984,5523807,5360597,1619268,5323402,19.434,-99.0877
5,Hangares,464915,1733553,1624789,1628397,1661460,1501016,1610208,1383056,19.4239,-99.0873
5,Pantitlan,5526556,30778801,28495663,30269977,30595014,27812694,1223231,,19.4163,-99.0747
6,El Rosario,3021313,11539561,6703354,6688274,6984791,7112364,9845179,9303154,19.5047,-99.1998
6,Tezozomoc,681400,745668,854872,1503428,1684872,1524652,7122574,7022235,19.495,-99.1965
6,Azcapotzalco,794371,2308209,2310406,2203318,2625320,2455135,5078886,5167562,19.4907,-99.1864
6,Ferrea,1934201,4933900,5101666,4303445,4136557,4861753,4632403,4407334,19.4906,-99.174
6,Norte 45,599611,2017339,2300089,2091501,2248194,1987992,4318906,4331307,19.4887,-99.1628
6,Vallejo,616279,998932,1355742,1540659,1898638,2046398,2381150,2406569,19.4902,-99.1555
6,Inst. del Petroleo,408651,1160177,1209170,1232240,1248477,1285973,2086431,2120747,19.4908,-99.1472
6,Lindavista,1726517,5499346,5379754,5462882,5446576,4561282,1958945,2096723,19.4875,-99.1347
6,Deportivo 18 de Marzo,309599,555055,573374,545672,730251,774671,1508851,1504067,19.485,-99.1255
6,La Villa - Basilica,1300219,4620986,5182855,5121102,5524657,4952896,1064784,1047969,19.4815,-99.1179
6,Martin Carrera,3032732,9419808,9910047,9591749,10913154,10423203,771847,803480,19.4849,-99.1044
7,El Rosario,2406571,6549780,12097027,13481307,16346320,15809191,15688588,16717838,19.5047,-99.1998
7,Aquiles Serdan,1731973,5566324,4365528,5304030,5606134,5270104,10870741,11921473,19.49,-99.195
7,Camarones,1410978,4864876,4009151,3892476,4193299,4336192,8916004,9079444,19.479,-99.1902
7,Refineria,906310,3331026,2710843,1995120,2867513,2630718,8270683,8247070,19.4699,-99.1906
7,Tacuba,779320,2834409,2305599,2370886,2495211,2114856,7512030,7146155,19.4595,-99.1889
7,San Joaquin,1665934,5981213,5724150,5100798,4309161,4620243,5163136,4986249,19.4458,-99.1917
7,Polanco,2822546,10493249,9296098,8935284,9388901,8633740,4896695,1789362,19.4335,-99.1911
7,Auditorio,2636104,10080032,8737991,7606851,8417468,8396959,4135848,4087683,19.4254,-99.1919
7,Constituyentes,860690,2454758,2196059,2213283,2387214,2049382,3747801,3937407,19.4116,-99.1913
7,Tacubaya,645632,2273652,1645322,1929372,2309114,2086324,3044078,3097318,19.403,-99.1869
7,San Pedro de los Pinos,1036050,3782713,3388221,3257051,2869927,2611981,2558492,2659333,19.3911,-99.186
7,San Antonio,1391536,3788248,4021603,4048243,4201080,3729165,2551602,2544872,19.3851,-99.1866
7,Mixcoac,2275662,7535179,6498108,7641891,8181297,6613437,1970234,2076039,19.3761,-99.1878
7,Barranca del Muerto,3315253,12344546,11678844,12509025,13277454,9999602,1909498,1742366,19.3606,-99.1894
8,Garibaldi,2971267,7917734,8049537,8039833,8291305,7163170,27196633,29643126,19.4433,-99.1396
8,Bellas Artes,1962989,7873852,7230733,6544648,6918556,6827852,9453449,9489357,19.4364,-99.1419
8,San Juan de Letran,2213121,10232602,10461217,10368015,10469488,9689078,8458530,8227860,19.4311,-99.1416
8,Salto del Agua,1465536,6599067,6240607,6644129,6192868,5990391,7947196,8168467,19.4269,-99.1432
8,Doctores,1143549,4053198,3630411,3017684,3266200,3484134,7157225,7977198,19.4214,-99.1432
8,Obrera,1573480,5083830,5006703,4891721,4758867,4351438,6857505,6954870,19.4131,-99.1441
8,Chabacano,433141,1237537,1326785,1293103,1054442,1321863,6799751,6803041,19.409,-99.1357
8,La Viga,727417,2545715,2360495,2336024,2126781,2023547,6237321,6133155,19.4065,-99.1263
8,Santa Anita,769690,2343198,2455798,2255827,2102050,1854050,5567821,5421287,19.4029,-99.1217
8,Coyuya,2040572,7322559,7246883,7729365,8755780,8068417,5173606,4938500,19.3983,-99.1133
8,Iztacalco,1798957,7460051,6868273,6530552,5427432,4890752,4415895,4591125,19.3884,-99.112
8,Apatlaco,1252559,4155200,4008599,4073597,2864861,3076415,3844339,3729126,19.379,-99.1095
8,Aculco,1022484,3956959,3780719,3540586,3278377,3124175,3582635,3722630,19.3732,-99.1077
8,Escuadron 201,2374004,8749239,8359891,7841783,7729634,6525047,3406728,3379605,19.3648,-99.1095
8,Atlalilco,1693472,5400372,5865283,5676779,5207385,4731269,3358611,3265594,19.3562,-99.1013
8,Iztapalapa,1082500,3398639,3264470,3130643,2921439,2591462,2754327,2693122,19.3578,-99.0934
8,Cerro de la Estrella,1519048,3117099,3943009,3753416,3471653,3275826,2014078,1974405,19.3562,-99.0857
8,UAM-I,2779975,8692351,8558795,7941153,8422432,7191968,1930295,1966250,19.3507,-99.0746
8,Const de 1917,7629848,35882912,32213269,32019827,31241836,26812789,1230397,1183266,19.346,-99.0639
9,Pantitlan,6006018,33803441,29390961,35963018,33355513,33734363,36377419,34068742,19.4163,-99.0747
9,Puebla,2982184,10692646,10553236,10201321,10632651,9675613,16421013,16544128,19.4072,-99.0824
9,Ciudad Deportiva,1217613,2370824,2213704,2121839,2181193,1714798,14133513,14662136,19.4082,-99.0921
9,Velodromo,913350,3416424,3321898,2847089,2559350,2965639,9877825,9978311,19.4085,-99.1019
9,Mixiuhca,2040303,7450578,7143325,7552645,8261387,7637575,7295931,7986530,19.4083,-99.113
9,Jamaica,1151654,3695823,3471229,4265332,4153971,3478128,4568671,4706916,19.411,-99.1218
9,Chabacano,1091443,3720222,3949085,4107805,3978656,3773327,4183374,4305868,19.409,-99.1357
9,Lazaro Cardenas,1378481,4052453,4154013,4082059,3984461,3648230,3848111,3937407,19.4071,-99.1447
9,Centro Medico,1234522,3223950,"2 ,375,852",2173646,3646107,3728643,3687709,3885034,19.4076,-99.1551
9,Chilpancingo,3378462,13369922,14281851,13270440,14188531,12837802,3508023,3546767,19.4058,-99.1686
9,Patriotismo,1803552,4915039,4468134,4588753,4901322,4549732,2895406,2633314,19.406,-99.179
9,Tacubaya,5405087,17163999,17140583,16584554,15641562,16135011,1713385,1804522,19.403,-99.1869
A,Pantitlan,8172580,32151992,24486999,25204431,33261616,34171296,35405157,33617110,19.4163,-99.0747
A,Agricola Oriental,962697,3479594,3296302,3239720,4014919,4326146,13931799,11392160,19.4045,-99.0693
A,Canal de San Juan,1267196,4698376,3919426,4933527,5195165,5557869,11031277,10560093,19.3987,-99.0592
A,Tepalcates,1626687,5299787,5142701,5108688,5341650,5612202,7299285,6962282,19.3914,-99.0463
A,Guelatao,1948175,5912457,5878855,6388316,7403920,7719984,6950806,6627702,19.3851,-99.0356
A,Penon Viejo,1482157,5138056,3547458,4194425,5118707,5070007,5096904,4824146,19.3733,-99.017
A,Acatitla,1582218,5630517,5033111,5070118,5563026,5191301,4833371,4670769,19.3647,-99.0058
A,Santa Marta,2996567,8067199,8908358,9539758,9408180,9917462,4684830,4437680,19.3603,-98.9953
A,Los Reyes,2201667,7200118,7032662,7243575,7092430,7171239,4627789,4344761,19.359,-98.977
A,La Paz,3218239,11913128,9904250,12273697,15293497,15186035,3736529,3453069,19.3504,-98.9609
B,Buenavista,4665497,18611327,16882804,14560336,11549144,8884032,16134019,16773000,19.4464,-99.1532
B,Guerrero,535198,1797477,1507936,1574159,1810758,1670658,10428351,10829508,19.4446,-99.1452
B,Garibaldi,712790,3088681,3020691,2585052,2558990,2317663,9476206,9006701,19.4433,-99.1396
B,Lagunilla,2087435,10015204,9649321,9075909,8871453,7949532,8771542,8907584,19.4432,-99.1311
B,Tepito,2040358,8984917,8282127,7853577,7489030,7116158,8712606,8528591,19.4425,-99.1236
B,Morelos,504670,1704600,1984624,1691262,1693626,1561912,8286120,8299547,19.4396,-99.1181
B,San Lazaro,1517021,5508338,5516503,5180594,4794985,4422100,7814551,8072181,19.4302,-99.1143
B,R Flores Magon,622017,2074195,2090132,1923663,1591963,1781500,6739137,7141013,19.4365,-99.1039
B,Romero Rubio,922475,3297279,3338387,3184579,3454112,2853240,6388053,6871546,19.4406,-99.0948
B,Oceania,1054126,3579033,3475145,2759912,2774222,2821547,5391477,5722715,19.4453,-99.0873
B,Deportivo Oceania,1705178,6207716,6078055,6025319,5784568,5284912,5364586,5345970,19.4511,-99.0795
B,Bosque de Aragon,614365,2306186,2267338,2147167,2259721,2150750,4507174,4317683,19.4581,-99.0696
B,Villa de Aragon,1318330,4842546,4815556,4245513,3778934,3605049,4230186,3997570,19.4616,-99.0617
B,Nezahualcoyotl,2478708,8487304,7783158,7930505,7526504,6840040,3705441,3659122,19.473,-99.0548
B,Impulsora,2741639,9396257,9382897,9348883,9363919,8629920,2813729,2791597,19.4857,-99.0493
B,Rio de los Remedios,1865823,7972668,7881492,6552429,5038228,4308510,2780221,2758365,19.4909,-99.0469
B,Muzquiz,3403972,12160444,11994381,11594694,11213221,10421039,2450930,2535314,19.501629,-99.042048
B,Ecatepec,2833943,10237086,9813127,9417839,9055889,8272045,2148954,2210548,19.5016,-99.0422
B,Olimpica,1867645,7088450,6828194,6514377,6297561,5530997,1857624,1852668,19.5215,-99.0335
B,Plaza Aragon,1974751,8774893,8385272,7852512,6192668,5948072,1782890,1771181,19.5286,-99.0304
B,Ciudad Azteca,5780833,20748198,17830485,19534210,19370881,12726403,1629310,1670404,19.5346,-99.0277
